Date,Day_of_Week,Holiday_Indicator,Sales
2010-04-17,Saturday,0,224
2010-04-18,Sunday,0,192
2010-04-19,Monday,0,332
2010-04-20,Tuesday,0,321
2010-04-21,Wednesday,0,261
2010-04-22,Thursday,0,323
2010-04-23,Friday,0,325
2010-04-24,Saturday,0,235
2010-04-25,Sunday,0,185
2010-04-26,Monday,0,333
2010-04-27,Tuesday,0,322
2010-04-28,Wednesday,0,286
2010-04-29,Thursday,0,361
2010-04-30,Friday,0,348
2010-05-01,Saturday,1,271
2010-05-02,Sunday,0,152
2010-05-03,Monday,0,328
2010-05-04,Tuesday,0,247
2010-05-05,Wednesday,0,304
2010-05-06,Thursday,0,351
2010-05-07,Friday,0,259
2010-05-08,Saturday,0,158
2010-05-09,Sunday,0,169
2010-05-10,Monday,0,273
2010-05-11,Tuesday,0,243
2010-05-12,Wednesday,0,289
2010-05-13,Thursday,0,257
2010-05-14,Friday,0,301
2010-05-15,Saturday,0,152
2010-05-16,Sunday,0,194
2010-05-17,Monday,0,265
2010-05-18,Tuesday,0,278
2010-05-19,Wednesday,0,311
2010-05-20,Thursday,0,252
2010-05-21,Friday,0,294
2010-05-22,Saturday,0,189
2010-05-23,Sunday,1,211
2010-05-24,Monday,0,293
2010-05-25,Tuesday,0,295
2010-05-26,Wednesday,0,310
2010-05-27,Thursday,0,252
2010-05-28,Friday,0,249
2010-05-29,Saturday,0,176
2010-05-30,Sunday,0,172
2010-05-31,Monday,0,295
2010-06-01,Tuesday,0,260
2010-06-02,Wednesday,0,234
2010-06-03,Thursday,0,257
2010-06-04,Friday,0,259
2010-06-05,Saturday,0,136
2010-06-06,Sunday,0,174
2010-06-07,Monday,0,263
2010-06-08,Tuesday,0,221
2010-06-09,Wednesday,0,268
2010-06-10,Thursday,0,227
2010-06-11,Friday,0,271
2010-06-12,Saturday,0,164
2010-06-13,Sunday,0,134
2010-06-14,Monday,0,276
2010-06-15,Tuesday,0,262
2010-06-16,Wednesday,0,272
2010-06-17,Thursday,0,299
2010-06-18,Friday,0,245
2010-06-19,Saturday,0,135
2010-06-20,Sunday,0,133
2010-06-21,Monday,0,231
2010-06-22,Tuesday,0,250
2010-06-23,Wednesday,0,260
2010-06-24,Thursday,0,258
2010-06-25,Friday,0,272
2010-06-26,Saturday,0,147
2010-06-27,Sunday,0,168
2010-06-28,Monday,0,245
2010-06-29,Tuesday,0,320
2010-06-30,Wednesday,0,267
2010-07-01,Thursday,0,296
2010-07-02,Friday,0,289
2010-07-03,Saturday,0,198
2010-07-04,Sunday,0,184
2010-07-05,Monday,0,347
2010-07-06,Tuesday,0,339
2010-07-07,Wednesday,0,321
2010-07-08,Thursday,0,296
2010-07-09,Friday,0,274
2010-07-10,Saturday,0,180
2010-07-11,Sunday,0,205
2010-07-12,Monday,0,330
2010-07-13,Tuesday,0,283
2010-07-14,Wednesday,0,329
2010-07-15,Thursday,0,336
2010-07-16,Friday,0,295
2010-07-17,Saturday,0,191
2010-07-18,Sunday,0,190
2010-07-19,Monday,0,286
2010-07-20,Tuesday,0,335
2010-07-21,Wednesday,0,342
2010-07-22,Thursday,0,359
2010-07-23,Friday,0,358
2010-07-24,Saturday,0,162
2010-07-25,Sunday,0,171
2010-07-26,Monday,0,340
2010-07-27,Tuesday,0,340
2010-07-28,Wednesday,0,340
2010-07-29,Thursday,0,448
2010-07-30,Friday,0,342
2010-07-31,Saturday,0,210
2010-08-01,Sunday,0,230
2010-08-02,Monday,0,383
2010-08-03,Tuesday,0,348
2010-08-04,Wednesday,0,387
2010-08-05,Thursday,0,332
2010-08-06,Friday,0,351
2010-08-07,Saturday,0,199
2010-08-08,Sunday,0,211
2010-08-09,Monday,0,443
2010-08-10,Tuesday,0,292
2010-08-11,Wednesday,0,384
2010-08-12,Thursday,0,301
2010-08-13,Friday,0,343
2010-08-14,Saturday,0,232
2010-08-15,Sunday,1,317
2010-08-16,Monday,0,321
2010-08-17,Tuesday,0,334
2010-08-18,Wednesday,0,384
2010-08-19,Thursday,0,333
2010-08-20,Friday,0,367
2010-08-21,Saturday,0,210
2010-08-22,Sunday,0,196
2010-08-23,Monday,0,437
2010-08-24,Tuesday,0,382
2010-08-25,Wednesday,0,287
2010-08-26,Thursday,0,366
2010-08-27,Friday,0,336
2010-08-28,Saturday,0,227
2010-08-29,Sunday,0,193
2010-08-30,Monday,0,355
2010-08-31,Tuesday,0,378
2010-09-01,Wednesday,0,430
2010-09-02,Thursday,0,348
2010-09-03,Friday,0,382
2010-09-04,Saturday,0,220
2010-09-05,Sunday,0,215
2010-09-06,Monday,0,465
2010-09-07,Tuesday,0,412
2010-09-08,Wednesday,0,346
2010-09-09,Thursday,0,432
2010-09-10,Friday,1,720
2010-09-11,Saturday,1,382
2010-09-12,Sunday,0,195
2010-09-13,Monday,0,376
2010-09-14,Tuesday,0,446
2010-09-15,Wednesday,0,367
2010-09-16,Thursday,0,413
2010-09-17,Friday,0,426
2010-09-18,Saturday,0,209
2010-09-19,Sunday,0,229
2010-09-20,Monday,0,267
2010-09-21,Tuesday,0,355
2010-09-22,Wednesday,0,385
2010-09-23,Thursday,0,346
2010-09-24,Friday,0,460
2010-09-25,Saturday,0,197
2010-09-26,Sunday,0,220
2010-09-27,Monday,0,401
2010-09-28,Tuesday,0,453
2010-09-29,Wednesday,0,339
2010-09-30,Thursday,0,442
2010-10-01,Friday,0,504
2010-10-02,Saturday,1,397
2010-10-03,Sunday,0,307
2010-10-04,Monday,0,514
2010-10-05,Tuesday,0,473
2010-10-06,Wednesday,0,507
2010-10-07,Thursday,0,484
2010-10-08,Friday,0,509
2010-10-09,Saturday,0,313
2010-10-10,Sunday,0,340
2010-10-11,Monday,0,441
2010-10-12,Tuesday,0,611
2010-10-13,Wednesday,0,405
2010-10-14,Thursday,0,496
2010-10-15,Friday,0,533
2010-10-16,Saturday,0,302
2010-10-17,Sunday,0,275
2010-10-18,Monday,0,493
2010-10-19,Tuesday,0,479
2010-10-20,Wednesday,0,474
2010-10-21,Thursday,0,546
2010-10-22,Friday,0,521
2010-10-23,Saturday,0,273
2010-10-24,Sunday,0,320
2010-10-25,Monday,0,519
2010-10-26,Tuesday,0,544
2010-10-27,Wednesday,0,535
2010-10-28,Thursday,0,462
2010-10-29,Friday,0,475
2010-10-30,Saturday,0,315
2010-10-31,Sunday,0,311
2010-11-01,Monday,0,538
2010-11-02,Tuesday,0,546
2010-11-03,Wednesday,0,608
2010-11-04,Thursday,0,508
2010-11-05,Friday,1,854
2010-11-06,Saturday,0,308
2010-11-07,Sunday,0,308
2010-11-08,Monday,0,599
2010-11-09,Tuesday,0,584
2010-11-10,Wednesday,0,583
2010-11-11,Thursday,0,610
2010-11-12,Friday,0,541
2010-11-13,Saturday,0,336
2010-11-14,Sunday,0,305
2010-11-15,Monday,0,557
2010-11-16,Tuesday,1,799
2010-11-17,Wednesday,1,817
2010-11-18,Thursday,0,572
2010-11-19,Friday,0,495
2010-11-20,Saturday,0,380
2010-11-21,Sunday,0,283
2010-11-22,Monday,0,474
2010-11-23,Tuesday,0,602
2010-11-24,Wednesday,0,582
2010-11-25,Thursday,0,573
2010-11-26,Friday,0,573
2010-11-27,Saturday,0,314
2010-11-28,Sunday,0,286
2010-11-29,Monday,0,544
2010-11-30,Tuesday,0,503
2010-12-01,Wednesday,0,632
2010-12-02,Thursday,0,567
2010-12-03,Friday,0,528
2010-12-04,Saturday,0,325
2010-12-05,Sunday,0,349
2010-12-06,Monday,0,543
2010-12-07,Tuesday,0,528
2010-12-08,Wednesday,0,590
2010-12-09,Thursday,0,590
2010-12-10,Friday,0,546
2010-12-11,Saturday,0,320
2010-12-12,Sunday,0,343
2010-12-13,Monday,0,492
2010-12-14,Tuesday,0,494
2010-12-15,Wednesday,0,534
2010-12-16,Thursday,1,845
2010-12-17,Friday,0,593
2010-12-18,Saturday,0,385
2010-12-19,Sunday,0,364
2010-12-20,Monday,0,566
2010-12-21,Tuesday,0,574
2010-12-22,Wednesday,0,518
2010-12-23,Thursday,0,574
2010-12-24,Friday,0,559
2010-12-25,Saturday,1,520
2010-12-26,Sunday,0,308
2010-12-27,Monday,0,605
2010-12-28,Tuesday,0,664
2010-12-29,Wednesday,0,569
2010-12-30,Thursday,0,599
2010-12-31,Friday,0,615
2011-01-01,Saturday,0,249
2011-01-02,Sunday,0,266
2011-01-03,Monday,0,446
2011-01-04,Tuesday,0,450
2011-01-05,Wednesday,0,411
2011-01-06,Thursday,0,447
2011-01-07,Friday,0,468
2011-01-08,Saturday,0,298
2011-01-09,Sunday,0,285
2011-01-10,Monday,0,542
2011-01-11,Tuesday,0,412
2011-01-12,Wednesday,0,485
2011-01-13,Thursday,0,454
2011-01-14,Friday,1,816
2011-01-15,Saturday,0,239
2011-01-16,Sunday,0,238
2011-01-17,Monday,0,419
2011-01-18,Tuesday,0,351
2011-01-19,Wednesday,0,422
2011-01-20,Thursday,0,412
2011-01-21,Friday,0,453
2011-01-22,Saturday,0,269
2011-01-23,Sunday,0,309
2011-01-24,Monday,0,488
2011-01-25,Tuesday,0,420
2011-01-26,Wednesday,1,609
2011-01-27,Thursday,0,468
2011-01-28,Friday,0,387
2011-01-29,Saturday,0,308
2011-01-30,Sunday,0,291
2011-01-31,Monday,0,425
2011-02-01,Tuesday,0,339
2011-02-02,Wednesday,0,464
2011-02-03,Thursday,0,404
2011-02-04,Friday,0,459
2011-02-05,Saturday,0,200
2011-02-06,Sunday,0,224
2011-02-07,Monday,0,409
2011-02-08,Tuesday,0,411
2011-02-09,Wednesday,0,390
2011-02-10,Thursday,0,434
2011-02-11,Friday,0,365
2011-02-12,Saturday,0,235
2011-02-13,Sunday,0,241
2011-02-14,Monday,0,430
2011-02-15,Tuesday,1,657
2011-02-16,Wednesday,0,363
2011-02-17,Thursday,0,346
2011-02-18,Friday,0,461
2011-02-19,Saturday,0,246
2011-02-20,Sunday,0,220
2011-02-21,Monday,0,472
2011-02-22,Tuesday,0,413
2011-02-23,Wednesday,0,457
2011-02-24,Thursday,0,411
2011-02-25,Friday,0,493
2011-02-26,Saturday,0,280
2011-02-27,Sunday,0,232
2011-02-28,Monday,0,448
2011-03-01,Tuesday,0,514
2011-03-02,Wednesday,0,549
2011-03-03,Thursday,0,436
2011-03-04,Friday,0,516
2011-03-05,Saturday,0,311
2011-03-06,Sunday,0,232
2011-03-07,Monday,0,426
2011-03-08,Tuesday,0,384
2011-03-09,Wednesday,0,470
2011-03-10,Thursday,0,518
2011-03-11,Friday,0,556
2011-03-12,Saturday,0,284
2011-03-13,Sunday,0,328
2011-03-14,Monday,0,416
2011-03-15,Tuesday,0,401
2011-03-16,Wednesday,0,480
2011-03-17,Thursday,0,502
2011-03-18,Friday,0,482
2011-03-19,Saturday,0,223
2011-03-20,Sunday,1,419
2011-03-21,Monday,0,420
2011-03-22,Tuesday,0,515
2011-03-23,Wednesday,0,501
2011-03-24,Thursday,0,438
2011-03-25,Friday,0,458
2011-03-26,Saturday,0,252
2011-03-27,Sunday,0,280
2011-03-28,Monday,0,529
2011-03-29,Tuesday,0,435
2011-03-30,Wednesday,0,507
2011-03-31,Thursday,0,457
2011-04-01,Friday,0,308
2011-04-02,Saturday,0,193
2011-04-03,Sunday,0,175
2011-04-04,Monday,0,316
2011-04-05,Tuesday,0,294
2011-04-06,Wednesday,0,400
2011-04-07,Thursday,0,335
2011-04-08,Friday,0,311
2011-04-09,Saturday,0,199
2011-04-10,Sunday,0,193
2011-04-11,Monday,0,327
2011-04-12,Tuesday,0,355
2011-04-13,Wednesday,0,360
2011-04-14,Thursday,0,317
2011-04-15,Friday,0,315
2011-04-16,Saturday,0,189
2011-04-17,Sunday,1,225
2011-04-18,Monday,0,284
2011-04-19,Tuesday,0,380
2011-04-20,Wednesday,0,389
2011-04-21,Thursday,0,326
2011-04-22,Friday,1,531
2011-04-23,Saturday,0,201
2011-04-24,Sunday,1,383
2011-04-25,Monday,0,372
2011-04-26,Tuesday,0,330
2011-04-27,Wednesday,0,302
2011-04-28,Thursday,0,281
2011-04-29,Friday,0,341
2011-04-30,Saturday,0,180
2011-05-01,Sunday,1,223
2011-05-02,Monday,0,278
2011-05-03,Tuesday,0,265
2011-05-04,Wednesday,0,347
2011-05-05,Thursday,0,323
2011-05-06,Friday,0,297
2011-05-07,Saturday,0,199
2011-05-08,Sunday,0,174
2011-05-09,Monday,0,271
2011-05-10,Tuesday,0,342
2011-05-11,Wednesday,0,313
2011-05-12,Thursday,0,266
2011-05-13,Friday,0,291
2011-05-14,Saturday,0,158
2011-05-15,Sunday,0,149
2011-05-16,Monday,0,325
2011-05-17,Tuesday,0,354
2011-05-18,Wednesday,0,255
2011-05-19,Thursday,0,314
2011-05-20,Friday,0,278
2011-05-21,Saturday,0,165
2011-05-22,Sunday,0,163
2011-05-23,Monday,0,271
2011-05-24,Tuesday,0,299
2011-05-25,Wednesday,0,272
2011-05-26,Thursday,0,305
2011-05-27,Friday,0,296
2011-05-28,Saturday,0,169
2011-05-29,Sunday,0,157
2011-05-30,Monday,0,280
2011-05-31,Tuesday,0,320
2011-06-01,Wednesday,0,273
2011-06-02,Thursday,0,234
2011-06-03,Friday,0,262
2011-06-04,Saturday,0,163
2011-06-05,Sunday,0,126
2011-06-06,Monday,0,274
2011-06-07,Tuesday,0,243
2011-06-08,Wednesday,0,275
2011-06-09,Thursday,0,240
2011-06-10,Friday,0,213
2011-06-11,Saturday,0,127
2011-06-12,Sunday,1,228
2011-06-13,Monday,0,267
2011-06-14,Tuesday,0,236
2011-06-15,Wednesday,0,277
2011-06-16,Thursday,0,217
2011-06-17,Friday,0,258
2011-06-18,Saturday,0,133
2011-06-19,Sunday,0,141
2011-06-20,Monday,0,261
2011-06-21,Tuesday,0,237
2011-06-22,Wednesday,0,250
2011-06-23,Thursday,0,286
2011-06-24,Friday,0,245
2011-06-25,Saturday,0,164
2011-06-26,Sunday,0,134
2011-06-27,Monday,0,274
2011-06-28,Tuesday,0,297
2011-06-29,Wednesday,0,196
2011-06-30,Thursday,0,239
2011-07-01,Friday,0,354
2011-07-02,Saturday,0,191
2011-07-03,Sunday,0,202
2011-07-04,Monday,0,314
2011-07-05,Tuesday,0,337
2011-07-06,Wednesday,0,329
2011-07-07,Thursday,0,373
2011-07-08,Friday,0,343
2011-07-09,Saturday,0,201
2011-07-10,Sunday,0,187
2011-07-11,Monday,0,318
2011-07-12,Tuesday,0,320
2011-07-13,Wednesday,0,348
2011-07-14,Thursday,0,320
2011-07-15,Friday,0,344
2011-07-16,Saturday,0,235
2011-07-17,Sunday,0,212
2011-07-18,Monday,0,323
2011-07-19,Tuesday,0,375
2011-07-20,Wednesday,0,321
2011-07-21,Thursday,0,266
2011-07-22,Friday,0,301
2011-07-23,Saturday,0,158
2011-07-24,Sunday,0,188
2011-07-25,Monday,0,335
2011-07-26,Tuesday,0,390
2011-07-27,Wednesday,0,345
2011-07-28,Thursday,0,327
2011-07-29,Friday,0,362
2011-07-30,Saturday,0,152
2011-07-31,Sunday,0,199
2011-08-01,Monday,0,400
2011-08-02,Tuesday,0,316
2011-08-03,Wednesday,0,414
2011-08-04,Thursday,0,384
2011-08-05,Friday,0,356
2011-08-06,Saturday,0,230
2011-08-07,Sunday,0,266
2011-08-08,Monday,0,378
2011-08-09,Tuesday,0,381
2011-08-10,Wednesday,0,354
2011-08-11,Thursday,0,340
2011-08-12,Friday,0,402
2011-08-13,Saturday,0,198
2011-08-14,Sunday,0,218
2011-08-15,Monday,1,531
2011-08-16,Tuesday,0,389
2011-08-17,Wednesday,0,384
2011-08-18,Thursday,0,410
2011-08-19,Friday,0,353
2011-08-20,Saturday,0,211
2011-08-21,Sunday,0,195
2011-08-22,Monday,0,355
2011-08-23,Tuesday,0,386
2011-08-24,Wednesday,0,400
2011-08-25,Thursday,0,337
2011-08-26,Friday,0,404
2011-08-27,Saturday,0,246
2011-08-28,Sunday,0,225
2011-08-29,Monday,0,441
2011-08-30,Tuesday,1,514
2011-08-31,Wednesday,1,488
2011-09-01,Thursday,0,336
2011-09-02,Friday,0,470
2011-09-03,Saturday,0,254
2011-09-04,Sunday,0,237
2011-09-05,Monday,0,420
2011-09-06,Tuesday,0,363
2011-09-07,Wednesday,0,509
2011-09-08,Thursday,0,414
2011-09-09,Friday,0,413
2011-09-10,Saturday,0,256
2011-09-11,Sunday,0,250
2011-09-12,Monday,0,418
2011-09-13,Tuesday,0,376
2011-09-14,Wednesday,0,428
2011-09-15,Thursday,0,486
2011-09-16,Friday,0,464
2011-09-17,Saturday,0,276
2011-09-18,Sunday,0,226
2011-09-19,Monday,0,368
2011-09-20,Tuesday,0,404
2011-09-21,Wednesday,0,411
2011-09-22,Thursday,0,453
2011-09-23,Friday,0,339
2011-09-24,Saturday,0,275
2011-09-25,Sunday,0,234
2011-09-26,Monday,0,391
2011-09-27,Tuesday,0,367
2011-09-28,Wednesday,0,341
2011-09-29,Thursday,0,442
2011-09-30,Friday,0,412
2011-10-01,Saturday,0,264
2011-10-02,Sunday,1,396
2011-10-03,Monday,0,503
2011-10-04,Tuesday,0,607
2011-10-05,Wednesday,0,507
2011-10-06,Thursday,0,442
2011-10-07,Friday,0,508
2011-10-08,Saturday,0,295
2011-10-09,Sunday,0,221
2011-10-10,Monday,0,517
2011-10-11,Tuesday,0,508
2011-10-12,Wednesday,0,557
2011-10-13,Thursday,0,617
2011-10-14,Friday,0,579
2011-10-15,Saturday,0,295
2011-10-16,Sunday,0,270
2011-10-17,Monday,0,654
2011-10-18,Tuesday,0,523
2011-10-19,Wednesday,0,521
2011-10-20,Thursday,0,519
2011-10-21,Friday,0,531
2011-10-22,Saturday,0,299
2011-10-23,Sunday,0,286
2011-10-24,Monday,0,492
2011-10-25,Tuesday,0,519
2011-10-26,Wednesday,1,738
2011-10-27,Thursday,0,483
2011-10-28,Friday,0,526
2011-10-29,Saturday,0,296
2011-10-30,Sunday,0,349
2011-10-31,Monday,0,382
2011-11-01,Tuesday,0,618
2011-11-02,Wednesday,0,627
2011-11-03,Thursday,0,442
2011-11-04,Friday,0,538
2011-11-05,Saturday,0,313
2011-11-06,Sunday,1,419
2011-11-07,Monday,1,771
2011-11-08,Tuesday,0,496
2011-11-09,Wednesday,0,655
2011-11-10,Thursday,0,610
2011-11-11,Friday,0,628
2011-11-12,Saturday,0,348
2011-11-13,Sunday,0,288
2011-11-14,Monday,0,528
2011-11-15,Tuesday,0,585
2011-11-16,Wednesday,0,489
2011-11-17,Thursday,0,597
2011-11-18,Friday,0,544
2011-11-19,Saturday,0,313
2011-11-20,Sunday,0,348
2011-11-21,Monday,0,582
2011-11-22,Tuesday,0,537
2011-11-23,Wednesday,0,622
2011-11-24,Thursday,0,497
2011-11-25,Friday,0,592
2011-11-26,Saturday,0,344
2011-11-27,Sunday,0,315
2011-11-28,Monday,0,576
2011-11-29,Tuesday,0,488
2011-11-30,Wednesday,0,609
2011-12-01,Thursday,0,584
2011-12-02,Friday,0,564
2011-12-03,Saturday,0,383
2011-12-04,Sunday,0,322
2011-12-05,Monday,1,767
2011-12-06,Tuesday,0,502
2011-12-07,Wednesday,0,631
2011-12-08,Thursday,0,518
2011-12-09,Friday,0,699
2011-12-10,Saturday,0,274
2011-12-11,Sunday,0,406
2011-12-12,Monday,0,607
2011-12-13,Tuesday,0,589
2011-12-14,Wednesday,0,562
2011-12-15,Thursday,0,618
2011-12-16,Friday,0,592
2011-12-17,Saturday,0,385
2011-12-18,Sunday,0,351
2011-12-19,Monday,0,604
2011-12-20,Tuesday,0,573
2011-12-21,Wednesday,0,591
2011-12-22,Thursday,0,613
2011-12-23,Friday,0,493
2011-12-24,Saturday,0,300
2011-12-25,Sunday,1,559
2011-12-26,Monday,0,605
2011-12-27,Tuesday,0,584
2011-12-28,Wednesday,0,596
2011-12-29,Thursday,0,615
2011-12-30,Friday,0,563
2011-12-31,Saturday,0,320
2012-01-01,Sunday,0,274
2012-01-02,Monday,0,415
2012-01-03,Tuesday,0,479
2012-01-04,Wednesday,0,382
2012-01-05,Thursday,0,508
2012-01-06,Friday,0,482
2012-01-07,Saturday,0,275
2012-01-08,Sunday,0,295
2012-01-09,Monday,0,537
2012-01-10,Tuesday,0,507
2012-01-11,Wednesday,0,375
2012-01-12,Thursday,0,401
2012-01-13,Friday,0,432
2012-01-14,Saturday,1,404
2012-01-15,Sunday,0,282
2012-01-16,Monday,0,427
2012-01-17,Tuesday,0,469
2012-01-18,Wednesday,0,425
2012-01-19,Thursday,0,432
2012-01-20,Friday,0,395
2012-01-21,Saturday,0,243
2012-01-22,Sunday,0,232
2012-01-23,Monday,0,415
2012-01-24,Tuesday,0,509
2012-01-25,Wednesday,0,417
2012-01-26,Thursday,1,873
2012-01-27,Friday,0,483
2012-01-28,Saturday,0,273
2012-01-29,Sunday,0,245
2012-01-30,Monday,0,493
2012-01-31,Tuesday,0,434
2012-02-01,Wednesday,0,427
2012-02-02,Thursday,0,530
2012-02-03,Friday,0,418
2012-02-04,Saturday,1,412
2012-02-05,Sunday,0,229
2012-02-06,Monday,0,420
2012-02-07,Tuesday,0,497
2012-02-08,Wednesday,0,395
2012-02-09,Thursday,0,498
2012-02-10,Friday,0,452
2012-02-11,Saturday,0,232
2012-02-12,Sunday,0,261
2012-02-13,Monday,0,463
2012-02-14,Tuesday,0,448
2012-02-15,Wednesday,0,356
2012-02-16,Thursday,0,391
2012-02-17,Friday,0,411
2012-02-18,Saturday,0,244
2012-02-19,Sunday,0,261
2012-02-20,Monday,0,429
2012-02-21,Tuesday,0,365
2012-02-22,Wednesday,0,438
2012-02-23,Thursday,0,448
2012-02-24,Friday,0,446
2012-02-25,Saturday,0,273
2012-02-26,Sunday,0,266
2012-02-27,Monday,0,441
2012-02-28,Tuesday,0,419
2012-02-29,Wednesday,0,352
2012-03-01,Thursday,0,520
2012-03-02,Friday,0,509
2012-03-03,Saturday,0,299
2012-03-04,Sunday,0,254
2012-03-05,Monday,0,445
2012-03-06,Tuesday,0,551
2012-03-07,Wednesday,0,497
2012-03-08,Thursday,1,799
2012-03-09,Friday,0,500
2012-03-10,Saturday,0,292
2012-03-11,Sunday,0,318
2012-03-12,Monday,0,473
2012-03-13,Tuesday,0,503
2012-03-14,Wednesday,0,476
2012-03-15,Thursday,0,477
2012-03-16,Friday,0,483
2012-03-17,Saturday,0,297
2012-03-18,Sunday,0,277
2012-03-19,Monday,0,561
2012-03-20,Tuesday,0,454
2012-03-21,Wednesday,0,489
2012-03-22,Thursday,0,477
2012-03-23,Friday,0,571
2012-03-24,Saturday,0,296
2012-03-25,Sunday,0,321
2012-03-26,Monday,0,425
2012-03-27,Tuesday,0,512
2012-03-28,Wednesday,0,543
2012-03-29,Thursday,0,503
2012-03-30,Friday,0,552
2012-03-31,Saturday,0,276
2012-04-01,Sunday,1,345
2012-04-02,Monday,0,425
2012-04-03,Tuesday,0,333
2012-04-04,Wednesday,0,330
2012-04-05,Thursday,0,395
2012-04-06,Friday,1,600
2012-04-07,Saturday,0,191
2012-04-08,Sunday,1,289
2012-04-09,Monday,0,335
2012-04-10,Tuesday,0,299
2012-04-11,Wednesday,0,313
2012-04-12,Thursday,0,310
2012-04-13,Friday,0,319
2012-04-14,Saturday,0,200
2012-04-15,Sunday,0,206
2012-04-16,Monday,0,399
2012-04-17,Tuesday,0,311
2012-04-18,Wednesday,0,379
2012-04-19,Thursday,0,338
2012-04-20,Friday,0,343
2012-04-21,Saturday,0,215
2012-04-22,Sunday,0,178
2012-04-23,Monday,0,358
2012-04-24,Tuesday,0,351
2012-04-25,Wednesday,0,362
2012-04-26,Thursday,0,355
2012-04-27,Friday,0,430
2012-04-28,Saturday,0,188
2012-04-29,Sunday,0,190
2012-04-30,Monday,0,324
2012-05-01,Tuesday,1,435
2012-05-02,Wednesday,0,287
2012-05-03,Thursday,0,343
2012-05-04,Friday,0,350
2012-05-05,Saturday,0,168
2012-05-06,Sunday,0,164
2012-05-07,Monday,0,321
2012-05-08,Tuesday,0,290
2012-05-09,Wednesday,0,326
2012-05-10,Thursday,0,313
2012-05-11,Friday,0,260
2012-05-12,Saturday,0,206
2012-05-13,Sunday,0,211
2012-05-14,Monday,0,288
2012-05-15,Tuesday,0,295
2012-05-16,Wednesday,0,315
2012-05-17,Thursday,0,317
2012-05-18,Friday,0,327
2012-05-19,Saturday,0,215
2012-05-20,Sunday,0,176
2012-05-21,Monday,0,282
